artist	artist_id	name	album	release_year	header	lyrics
Snoop Dogg	0	2001	Tha Doggfather	1996	[Verse 2]	"T Lee, hold 'em, shake 'em, roll
Fly G boys and all you hoodrat girls
Pound puts it down all around the world
The best pick out the litter, LB young nigga
I'll eat your soul out my dog bowl, I bark when it get dark
Bitches in heat we tear the beat up, what?
On the microphone I bury the bone
Always, strays try to follow me home
Uhh, to get the pooper scooper, why? They droppin' doo-doo
I'm steppin' on shit, lift up the bottom of my shoe
See I'm smashin' full-breaded wit no leash
When I mob, make marks across the street
See I'm vicious like hell, got 'em waggin they tail
For the bow-wow LBC style
Hit you like the Dogg bopper fever, I fetch paper
On the receiver, go get it like a retriever
I want 'em close enough so I can lock on 'em
Wit the mizzic, see I let the Doggz loose on 'em
Check this out here man, I lick 'em, sick 'em
Man's best friend, I hit you for ten, uhh
Fleas can't seize my pack, what, what's my name?
Major trick we're hittin' licks like the Doberman Gang
Y'done trip and try to fuck me up ever since a young puppy
Run a cat up a tree, nigga it's DPG"
The Game	13	Bang	Doctor’s Advocate	2006	[Verse 2]	"We not S-T-A-Rs, we don't put stars in our shoes
Bitch, we put the whole car on the shoes
You don't wanna see my car on the news
I'll set it off like Queen Latifah, red beam on the nina"
Kanye West	5	Champion	Graduation	2007	[Chorus]	"I think he did
When he packed it up and brought it back to the crib
Just a lil' somethin', show ya how we live
Everything I wanted, man, it seem so serious
Mhm, that's that shit
So if you gon' do it, do it just like this"
Kendrick Lamar	16	Keisha’s Song (Her Pain)	Section.80	2011	[Verse 3]	"And Lord knows she's beautiful
Lord knows the usuals leaving her body sore
As she bust down like a twelve-bunk on tour
She suddenly realize she'll never escape the allure
Of a Black man, white man needing satisfaction
At first, it became a practice, but now she's numb to it
Sometimes she wonder if she can do it like nuns do it
But she never heard of Catholic religion or sinner's redemption, that sounds foolish
And you can blame it on her mother
For letting her boyfriend slide candy under her cover
Ten months before she was ten, he moved in and that's when he touched her
This motherfucker is the fuckin' reason why Keisha rushing to that
Block away from Lueders Park, I seen an El Camino parked
And in her heart, she hate it there, but in her mind, she made it where
Nothing really matters, still she hit the back seat
Then caught a knife inside the bladder, left for dead, raped in the street
Keisha's song, mmm
My little sister eleven, I looked her right in the face
The day that I wrote this song, sat her down and pressed play"
Havoc	7	My Gats Spitting	Infamy	2001	[Chorus]	"So fuck y'all niggas
Buck y'all niggas
Ain't no way you can touch my niggas
Try my nigga
Die my nigga
All y'all niggas...my gats spittin'
So fuck y'all niggas
Buck y'all niggas
Ain't no way you can touch my niggas
Try my nigga
Die my nigga
All y'all niggas...my gats spittin'"
Snoop Dogg	0	Snoop Bounce	Tha Doggfather	1996	[Verse 3]	"Killin up crews, give em the real street blues
Have em slidin in their eelskins, groovin in their tennis shoes
Of course it don't stop bein a Westside ridah
Wit no tattoo that's how they got the clue
I lay conversation on wax and CD's
BG's and o-riginals, here come the mission
Makin biters ride the Pound for the rest of the season
Doggy DPG ya lil homey, uhh
I represent the LBC-ment
Windows tint, nigga that's the president
I hit you with a tune every blue moon
Collard on your plate so you can stuff it in your face
Nigga say your Grace before you touch your plate
It taste like it's laced but it ain't
This one puff uncut, no doubt
Everybody know I gotta ounce and a half"
Rakim	10	Guess Who’s Back (Alternative Mix)	The 18th Letter	1997	[Chorus]	"I control the crowd, you know I hold it down
When it drop you know it's jiggy when you hear the sound
From town to town, until it's world reknowned
And I rock New York City all year around"
Scarface	11	The Geto	My Homies	1998	[Verse 1]	"I dedicate this to my road dogs struggling
I hope this letter finds you with peace and all hustling
I'm busting, for y'all niggas, 'cause ya'll my niggas on the reala
We grind in these streets to stack some scrilla
For the dealers, you stay up on your P's and your Q's
And never underestimate with these who do
You get the paper then get out the streets, and y'all remember
You never let the money and the dope to meet
And I could give a G to a nigga starvin'
So we can floss and blow weed when he with the warden
How many niggas on the cut who don't give a fuck
Survivin' struggles, hitting licks after I pick 'em up
I'm just a homie out the hood who done did something
And while you frontin', I'm ten years and I'm still bumpin'
You heard me homie
Fuck tryna cater to the dumdums, they call you niggas
And niggas still forgettin' where they come from
I bring the real for all my homies out grindin'
And help your homie get on his feet, and we all riding
'Stangs, but thangs in this game and that's true
Be sure that you respecting the power, and that you
Never forget the neighborhood where it started
The ghetto South Acres my hood and my heart's with the..."
Snoop Dogg	0	Ghetto Symphony	No Limit Top Dogg	1999	[Interlude]	"Last up, I believe that's me
Snoop Dogg, light up the mic for the symphony"
MC Ren	17	The Dayz Of Wayback	Efil4zaggin	1991	[Verse 1]	"Now, this is some shit that's from the days of wayback
When niggas in Compton first started to jack
When the bitches wouldn't give you no pussy
If you wasn't sellin' drugs
So many bitches in my neighborhood got mugged
They always loved that shit, they want a nigga that's sellin' keys
But nowadays, they workin' at Mickey D's
But in the days of wayback, I couldn't be laid back
Because I needed ends and I made that
I get the nine from my nigga that he lend me and
Start robbin' muthafuckas just like Cowboys and Indians
Anythin' it took to get paid
A nigga like Ren already had the plan made
And I was in it to win it and not to lose
And shit'd start blowin' up once I lit the fuse
And police couldn't touch me because I was payin' 'em
But not with no money, yo, I was sprayin' 'em
And never get caught because nobody is snitch
But one hoe did, so Ren had to shoot the bitch!
Now she's in a coffin and my life is better off and
'Cause everybody knows who's the boss and
That black nigga that they call Ren
You fuck with me, you gotta fuck with a Mac-10!
So listen to me as I reminisce the days of wayback
So, check it out, y'all"
The Game	13	Church For Thugs	The Documentary	2005	[Verse 3]	"It go one brick, two brick, the boy movin' weight
Now three bricks, four bricks, I'm drivin' upstate
Five bricks, six bricks, the nigga got cake
Not rap money, but money been wrapped since eighty-eight
Look at the world we live in, niggas steady hate
'til the Heckler and Koch, leave 'em chopped up like Freddy's face
Niggas catchin' feelings 'cause I'm about millions
And out of all the newcomers out, my flow the illest
You a close second nigga, banana to a gorilla
Put us in the same cage, and I'ma have to peel 'em
The best of both worlds, rappin and drug dealin'
Run and tell Lateef I came to burn down the village
The head honcho, starin' out the third story window
Of my Beverly Hills condo
Two long-ass Heats, I call 'em Shaq and Alonzo
You niggas want me out of L.A., geah, I know"
Big Boi	26	Skew It on the Bar-B	Aquemini	1998	[Verse 3]	"Boy, I bust raps like D-boys bust gats, shit
We the type of people that don't bury the axe
Or the hatchet, every time we see your link, we snatch it
Ridin' 'round our hood talkin' that dumb shit, your cabbage
Is cracked like plumber's ass and summer's grass
I been in the game for a minute, seen some suckas like y'all passin'
Thinkin' you're light skinned, aight then, lil' boy why you frightened?
The Dungeon Family gon' be here, nigga, so keep writing
I gotta hit , I need my other half a mic
Because that  was a classic, right
College Park, East Point and Decatur they got my back, so
We gon' keep on jammin' and stabbin' off in the track, I
Think it's time to bungee, but buddy we will be back
And I'm fin' to put some D's on the 'Lac, know dat"
Nas	9	Big Things	I Am...	1999	[Verse 1]	"Get yours nigga
'Cause I'ma get mine
In due time
Everybody gotta shine
Get yours, I spray nines
I say this one time
The last time, I swear to y'all
I'm from where
The dope fiends is at
And killers crawl
And snitches call police
On these niggas, and street
Corners everybody's like
Smokin' marijuana and
Snuffin' niggas in faces and startin' drama and
Shootin' niggas, cold blood, just kill 'em, so what
With the fo' pound go nuts
Better slow up
Before you get your ass sewn up
Nigga never gon' grow up
Drinkin' the Henny
But he know he gon' throw up
Tryin' to make crack sales
What it look like? Future for a black male
Don't want to make my momma cry
On a front page for a homicide
Fly whips, all I wanted to drive
Where chicks get blunted and ride
Do 105 in the fast lane
And a fast pace, chasin' the papes
Spendin' chips on big chains
And the dimes that give brains
That was a 80's and 90's thing
Now I'm into big things"
Kendrick Lamar	16	Rigamortis	Section.80	2011	[Chorus]	"(He dead), yup-yup (Amen), I killed him
(He dead, amen), amen
Got me breathing with dragons
I'll crack the egg in your basket, you bastard
I'm Marilyn Manson, don't ask for your favorite rapper
(He dead), yup-yup (Amen), I know
(He dead), for sure (Amen), amen
Got me breathing with dragons
I'll crack the egg in your basket, you bastard
I'm Marilyn Manson, don't ask for your favorite rapper"
Snoop Dogg	0	Drop It Like It’s Hot	R&G (Rhythm & Gangsta): The Masterpiece	2004	[Chorus]	"When the pimp's in the crib, ma
(Drop it like it's hot, drop it like it's hot, drop it like it's hot)
When the pigs try to get at you
(Park it like it's hot, park it like it's hot, park it like it's hot)
And if a nigga get a attitude
(Pop it like it's hot, pop it like it's hot, pop it like it's hot)
I got the Rollie on my arm and I'm pourin' Chandon
And I roll the best weed, 'cause I got it goin' on"
Havoc	7	Nothing Like Home	Infamy	2001	[Chorus]	"I traveled the world, and been alot of places
Believe me dog, ain't nothin' like home
And if you want somethin' done, you gotta do it yourself
You got drama, who's gonna clap that chrome?
Nobody like you, somebody like me
When death, I'm ready for it in Threes
And me off point? C'mon now nigga please
I'm paranoid, you know I'm burnin' those trees"
Prodigy	8	Nighttime Vultures	Hell On Earth	1996	[Outro]	"'Cause live niggas rap this shit
From Rikers Houses to the street's pavement
Word life, kid, I'll have you hoppin' the fence
Dodgin' for life, runnin' the sprint, the Infamous
Live niggas rap this shit
Fake cats get offended, intimidated
Puttin' up they defense
I'll have you hoppin' the fence
Dodgin' for life, runnin' the sprint, the Infamous
(Yeah, yeah, yeah)
(Yeah, yeah, yeah, yeah)"
Kendrick Lamar	16	XXX.	DAMN.	2017	[Verse]	"Throw a steak off the ark to a pool full of sharks, he'll take it
Leave him in the wilderness with a sworn nemesis, he'll make it (He'll make it)
Take the gratitude from him, I bet he'll show you somethin', woah (Woah)
I chip a nigga lil' bit of nothin'
I chip a nigga lil' bit of nothin'
I chip a nigga lil' bit of nothin'
I chip a nigga, then throw the blower in his lap
Walk myself to the court like, ""Bitch, I did that X-rated""
Johnny don't wanna go to school no more, no more
Johnny said books ain't cool no more (No more)
Johnny wanna be a rapper like his big cousin
Johnny caught a body yesterday out hustlin'
God bless America, you know we all love him
Yesterday, I got a call, like, from my dog, like 101
Said they killed his only son because of insufficient funds
He was sobbin', he was mobbin', way belligerent and drunk
Talkin' out his head, philosophin' on what the Lord had done
He said, ""K-Dot, can you pray for me? It been a fucked up day for me
I know that you anointed, show me how to overcome""
He was lookin' for some closure, hopin' I could bring him closer
To the spiritual, my spirit do know better, but I told him
""I can't sugarcoat the answer for you, this is how I feel
If somebody kill my son, that mean somebody gettin' killed
Tell me what you do for love, loyalty, and passion of
All the memories collected, moments you could never touch
I wait in front a nigga's spot and watch him hit his block
I catch a nigga leavin' service if that's all I got
I chip a nigga, then throw the blower in his lap
Walk myself to the court like, ""Bitch, I did that""
Ain't no Black Power when your baby killed by a coward
I can't even keep the peace, don't you fuck with one of ours
It be murder in the street, it be bodies in the hour
Ghetto bird be on the street, paramedics on the dial
Let somebody touch my mama, touch my sister, touch my woman
Touch my daddy, touch my niece, touch my nephew, touch my brother
You should chip a nigga, then throw the blower in his lap
Matter fact, I'm 'bout to speak at this convention, call you back"""
The Game	13	Summertime	The Documentary 2	2015	[Verse 2]	"All I ever wanted was a red Honda
Yeah, you can tuck the rag but the tats don't lie
Give me a trap queen, we gon' sell it
Give me a trap queen, we gon' sell it
Tell me, what you gon' do when the trap goes dry?
You can try Visine but the stats don't lie
And I hope you ain't alone when you sell it
Said I hope you ain't alone when you sell it
Took 5 shots and survived the pine box
Swear I'm happy I'm still here so I can tell it
I know you're jealous, I know you don't like me
But you whoopin' my ass or killin' me is unlikely
Welcome to Cedar Block and..."
Kanye West	5	Devil In a New Dress	My Beautiful Dark Twisted Fantasy	2010	[Chorus]	"Put your hands to the constellations
The way you look should be a sin, you my sensation
I know I'm preachin' to the congregation
We love Jesus, but she done learned a lot from Satan, huh
Satan, Satan, Satan
I mean, a nigga did a lot of waiting
We ain't married, but tonight I need some consummation"
André 3000	27	Skew It on the Bar-B	Aquemini	1998	[Chorus]	"Old school players to new school fools
'Kast keep it jumping like kangaroos
We'll skew it on the bar-b, we ain't tryin to lose
Say, ""I'll be goddamned if they done changed the rules""
Old school players to new school fools
'Kast keep it jumping like kangaroos
We'll skew it on the bar-b, we ain't tryin to lose
Say, ""I'll be goddamned if they done changed the rules"""
Lupe Fiasco	23	Intruder Alert	Lupe Fiasco’s The Cool	2007	[Chorus]	"Intruder, intruder, intruder, intruder (Intruder)
Alert, alert (Alert), alert (Alert) alert (Alert)
Intruder (Intruder), intruder, intruder (Intruder), intruder
Alert, alert, alert (Alert), alert (Alert)"
JAY-Z	6	December 4th	The Black Album	2003	[Outro]	"If you can't respect that, your whole perspective is wack
Maybe you'll love me when I fade to black
If you can't respect that, your whole perspective is wack
Maybe you'll love me when I fade to black
Now if you can't respect that, your whole perspective is wack
Maybe you'll love me when I fade to black
If you can't respect that, your whole perspective is wack
Maybe you'll love me when I fade..."
Snoop Dogg	0	Issues	Tha Last Meal	2000	[Verse]	"Everywhere I go
I got niggas and bitches on my dick tryna take my shit, now
I don't really know
But I try to keep my head to the skitta, slice my piece of pitta
What cha'll hatin' for?
You better get up, get out and get your own, nigga, pick up the phone and
Holla at your folks
Young locs in the hood, mashin' Dogg House, fuck them other fools
D-O-double G
Kick back, blaze a sack and catch a muthafuckin' Big Mack attack, we
Blazin' up the dough
It'll hurt you, nuttin' but purple in my circle
To the day we die
We gon' get money, bitches and high
Dogg House Gangsta Crip
Right back up in your muthafuckin' ass for the R-2-G, bitch
What ya'll wanna do?
Seems like, these niggas wanna talk all night
What we gonna do?
We ain't gon' say nuttin' more, we gon' get with ya'll, on sight
That's how I suppose to see
So all that straggling in the gate tryna get close to me, ya'll
Niggas need to stop
Tryna flip the Hip-Hop scrip, I snap, crackle and POP
Tell your friends and foes
It's a whole new year, situation and I'm still hatin' hoes
Will it ever stop?
Look I really don't know but on the up, I doubt that, lo
Now what about your hood?
Man, I'm doin' mine they doin' their's, so I guess It's all good and
What about your crew?
Shit, my crew is Tha Eastsidaz, fool, I thought you knew
Dogg Pound ain't the same
Yeah, them niggas split up and did they own thang and went made their own gang
Money is thicker than blood?
That's fucked up but on the real that's how it is cuzz, damn
The world just ain't the same?
And come to find out these niggas crossing out my muthafuckin' name
So what am I to do?
I pay 'em no mind continue to shine, everythings fine
In G-O-D we trust
That's why, ya'll, suckers can't touch us, touch us
Meechy made the beat
And you know when we get together, shit, we like bread and meat, we
Comin' with the heat
Close your mouth 'cause Dogg House definitely turnin' it out
And what about the cops?
I paid them and the ones I didn't I slayed them, haha
Will it ever stop?
It's like askin' ""Who is it"" before a nigga even knock
The game is here to stay?
And I'm here to change the rules 'cause I'm a player that loves to play
Did you thank the Lord today?
Think I didn't? And on that note young loc, I'm gettin' ghost
Why you tell the truth?
Cause I'm hundred twenty proof from the turf to the roof
Bigg Snoop
Peace, peace, peace"
Snoop Dogg	0	Down 4 My N’s	No Limit Top Dogg	1999	[Verse 3]	"What niggas? Them niggas? Yeah, dawg, you with it?
Fuck 'em, let's get 'em, do 'em, I did 'em
We getting nutty in this motherfucker
I got my buddy in this motherfucker
Leave a nigga bloody in this motherfucker
We in the cutty, motherfucker, you done done too much
You got it coming, motherfucker
Some of these niggas is bitches too
And some of these niggas look just like you
Well, where I'm from, we like to ride on foes
Do it from the shoulders or do it from the toes
I do my dirt all by my lonely
C-Murder and Magic, hell yeah, they my motherfucking homies
So when shit get thick and foggy
And niggas wanna act like they wanna get with Snoop Doggy
Lemme let you niggas know
Shit, fuck what you going through and fuck what you stand for"
Eminem	15	8 Mile	8 Mile	2002	[Chorus]	"I'm a man, I'ma make a new plan
(It's alright, it's okay)
Time for me to just stand up and travel new land
(I'm gonna make it anyway)
Time for me to just take matters into my own hands
(Gonna make it, can't give up now)
Once I'm over these tracks, man, I'ma never look back
(I'ma make it somehow)
(8 Mile Road) And I'm gone, I know right where I'm goin'
(It's alright, it's okay)
Sorry, Momma, I'm grown, I must travel alone
(I'm gonna make it anyway)
Ain't gon' follow no footsteps, I'm makin' my own
(Gonna make it, can't give up now)
Only way that I know how to escape from this 8 Mile Road
(I'ma make it somehow)"
Nas	9	I Gave You Power	It Was Written	1996	[Verse 3]	"Yo, weeks went by and I'm surprised
Still stuck in the shelf with all the things that an outlaw hides
Besides me, it's bullets, two vests and then a 9
There's a grenade in a box, and that TEC that kept crying
'Cause he ain't been cleaned in a year, he's rusty, it's clear
He's 'bout to fall to pieces 'cause of his murder career
Yo, I can hear somebody coming in
Open the shelf, his eyes bubbling
He said it was on, I felt his palm troubled him
Shaking, somebody stomped him out, his dome was aching
He placed me on his waist, the moment I've been waiting
My creation was for Blacks to kill Blacks
It's gats like me that accidentally go off, making niggas memories
But this time, it's done intentionally
He walked me outside, saw this cat
Cocked me back, said, ""Remember me?""
He pulled the trigger, but I held on, it felt wrong
Knowing niggas is waiting in Hell for him
He squeezed harder, I didn't budge, sick of the blood
Sick of them thugs, sick of wrath of the next man's grudge
What the other kid did was pull out, no doubt
A newer me in better shape, before he lit out, he lead the chase
My owner fell to the floor, his wig split
So fast, I didn't know he was hit, it's over wit'!
Heard mad niggas screaming, niggas running, cops is coming
Now I'm happy, until I felt somebody else grab me
Damn!"
Common	22	Stolen Moments Pt. II	One Day It’ll All Make Sense	1997	[Verse]	"Extra salty 'cause whoever beat me, got me for this 31-inch
And this Alpha Bailey jacket I had just bought me
Out of snapping, my guy tried to talk me
But what could get me half way calm was this Donny Hathaway song
The tape that it was on I had wanted while I was gone
But forgot to pack it, in fact it was in that jacket
This demo, it's time to track it and lay it down
Either it's somebody I know or somebody I stay around
Day before I broke out, niggas was over my crib getting smoked out
No telling who had the place scoped out
Dot had brought over some niggas I didn't know
I'm asking who are you, they said I'm here with them all
If it was them, soon I'm a collide with them
And they better not be rocking no new Iversons
Then it could have been this hype that usually shovel my snow
If I'm out of town or not, by my car he would know
Now it might have been this stripper I met at Pinkhouse party
Thick, but my furniture wasn't worth her body
What if it was this nigga I let sleep in my crib?
They had a set of keys, but that I wasn't trying to believe
But I couldn't put it past him or those other bastards
It'd be assed backwards for me to ask if they did it
'Cause whoever did ain't gon' admit it
The blunt and dirty disses is my only exhibit
Wondering if I should give it a rest and through the wind it might surface
Cause telling the law, Joe, is worthless"
Kendrick Lamar	16	Wesley’s Theory	To Pimp a Butterfly	2015	[Verse 2]	"What you want you? A house or a car?
Forty acres and a mule, a piano, a guitar?
Anythin', see, my name is Uncle Sam, I'm your dog
Motherfucker, you can live at the mall
I know your kind (That's why I'm kind)
Don't have receipts (Oh, man, that's fine)
Pay me later, wear those gators
Cliché? Then say, ""Fuck your haters""
I can see the baller in you, I can see the dollar in you
Little white lies, but it's no white-collar in you
But it's whatever though because I'm still followin' you
Because you make me live forever, baby
Count it all together, baby
Then hit the register and make me feel better, baby
Your horoscope is a Gemini, two sides
So you better cop everything two times
Two coupes, two chains, two C-notes
Too much ain't enough, both we know
Christmas, tell 'em what's on your wish list
Get it all, you deserve it, Kendrick
And when you hit the White House, do you
But remember, you ain't pass economics in school
And everything you buy, taxes will deny
I'll Wesley Snipe your ass before thirty-five (Yeah)"
Eminem	15	Forgot About Dre	2001	1999	[Outro]	"Nowadays, everybody wanna talk like they got somethin' to say
But nothin' comes out when they move their lips
Just a bunch of gibberish
And motherfuckers act like they forgot about Dre"
Big Pun	24	Still Not a Player	Capital Punishment	1998	[Verse 1]	"Ayo, I'm still not a player, but you still a hater
Elevator to the top, hah, see you later
I'm gone, penthouse suite, Penthouse freaks
In-house beach, French comtesse, 10 thou' piece
Rent-out lease with an option to buy
Coppin' a 5 or Benz for when I'm not far up in the sky
Puffin' the lye from my Twinzito
Up in the Benzito with my kiko from Queens nicknamed Perico
We go back like PAs and wearin' PJs
Now we reached the peakage, runnin' trains for three days
Who wanna ride? It won't cost you a dollar
Whether soft or harder, of course you still gonna holla
Mama, I'm thick, huh? I'll rip my prick through your hooters
I'm sick, you couldn't measure my dick with six rulers
Hold up, chula, I'm all about gettin' loot
But I'll knock that boot if you out to get koofed"
The Game	13	Camera Phone	LAX	2008	[Verse 4]	"She call me Jay, I call her B
We gettin married, to the streets
I'm chasin' money, she chasin' me
I'm right where I wanna be
With the B on my Bentley
The horse on my Lambo
Crown on my Cadillac
Checks on my Air Max
Haters, better fall back
Before I put sumthin' in your ball cap
That's my chick, I got her back like a bra strap
'Cause she fine and she cute
She think she all that, and she all that
That's my girl, that's my world"
Kanye West	5	Touch the Sky	Late Registration	2005	[Chorus]	"I gotta testify
Come up in the spot lookin' extra fly
'Fore the day you die, you gon' touch the sky
You gon' touch the sky, baby girl, testify
Come up in the spot lookin' extra fly
'Fore the day you die, you gon' touch the sky"
Scarface	11	Ain’t With Being Broke	We Can’t Be Stopped	1991	[Verse 3]	"Let the gunshots rang out, blow my goddamn brains out
If you've been there, you know what I'm talkin' about
Gettin' over tops my agenda
The easy way out, is to jump out of a window
But that's a dopefiend move gone left
I'll kill you, but not myself
I tried to do the right things major
But that didn't put no food on the table
Went back to school to get my GED
But who's gonna hire a motherfucker like me?
McDonald's don't fit
They work you like a dog plus they talk too much shit
Without them dollar signs
It's like livin' and dyin' at the same time
And you wonder why a motherfucker sell dope?
He ain't with being broke"
Snoop Dogg	0	LA	The Documentary 2	2015	[Verse 2]	"I'm from that big blue raggin', tip toe taggin'
Mustard and mayonnaise, with Daynas on the wagon
Brown paper baggin', baby mama naggin'
You're either skinny jeans, Gucci belt or straight saggin'
Pleasure and agony, black James Cagney
The wood is the wood, but the hood is like a cavity
So much tragedy, rarely see clarity
I'm like a heir-to-be, charity, sincerely
Los Angeles, scandalous, handle us how?
We the ones you get your swag from, write that down
Home of the green leaf, watch out now
High school lesson, y'all can drop out now
California highway, California my way
I do it that way, then roll a fat J
La-la-la-la-la-la-la-la, look at me in my Cadillac car"
Big Boi	26	Church	Speakerboxxx / The Love Below	2003	[Verse 1]	"Big, slide into the mode, time to drop a load
My life is going downhill like some cardboard in the snow
My bank account is frozen, I
Don't think that I can get out this hole
Feel like the figure four leglock
Like the jury went away and then they came back deadlocked
I can't move, I can't eat, I can't even breathe
Can't even buy a decent sack without the stems and the seeds
No trees, no Ps to ease the stress of everyday living
But homeless people gotta suck it up wherever they living
The unforgiven or the unwilling, live a life of sinning
And expect to be as pure as an infant in the beginning, but"
Big L	25	M.V.P.	Lifestylez ov da Poor & Dangerous	1995	[Verse 1]	"Ayo, spark up the Phillies and pass the stout
Make it quick, money grip, 'fore yo' ass is out
In a street brawl, I strike men quicker than lightnin'
You seen what happened in my last fight, friend? Aight, then
L's a clever threat, a lyricist who never sweat
Comparin' yourself to me is like a Benz to a Chevrolet
And clown rappers I'm bound to slay
I'm sayin' hi to all the cuties from around the way
Yeah, 'cause I got all of them sprung, Jack
My girls are like boomerangs
No matter how far I throw 'em, they come back
I'm comin' straight out the NYC
I'm down with Diggin' In The Crates and I'm MVP"
JAY-Z	6	Jigga That Nigga	The Blueprint	2002	[Chorus]	"(Hov), V is I, and I am him
(Jigga, Jigga, that nigga Jigga)
Slim with the tilted brim on twenty-inch rims
(Jigga, Jigga, that nigga Jigga)
And if y'all got love for me, I got love for y'all
(Jigga, Jigga, that nigga Jigga)
And if y'all go to war for me, I go to war with y'all
(Jigga, Jigga, that nigga Jigga), woah"
Nas	9	Represent	Illmatic	1994	[Chorus]	"Represent y'all, represent
Represent y'all, represent
Represent y'all, represent
Represent y'all, represent"
JAY-Z	6	Legacy	4:44	2017	[Verse 1]	"Take those moneys and spread 'cross families
My sisters, Hattie and Lou, the nephews, cousins and TT
Eric, the rest to B for whatever she wants to do
She might start an institute, she might put poor kids through school
My stake in Roc Nation should go to you
Leave a piece for your siblings to give to their children too
TIDAL, the champagne, D'USSÉ, I'd like to see
A nice peace-fund ideas from people who look like we
We gon' start a society within a society
That's major, just like the Negro League
There was a time America wouldn't let us ball
Those times are now back, just now called Afro-tech
Generational wealth, that's the key
My parents ain't have shit, so that shift started with me
My mom took her money, she bought me bonds
That was the sweetest thing of all time, uh"
JAY-Z	6	Moment of Clarity	The Black Album	2003	[Verse 1]	"Pop died, didn't cry, didn't know him that well
Between him doing heroin and me doing crack sales
With that in the eggshell, standing at the tabernacle
Rather the church, pretending to be hurt wouldn't work
So a smirk was all on my face
Like, ""Damn, that man's face is just like my face""
So Pop, I forgive you for all the shit that I lived through
It wasn't all your fault, homie, you got caught
Into the same game I fought (Ugh), that Uncle Ray lost (Ugh)
My big brothers and so many others I saw
I'm just glad we got to see each other
Talk and re-meet each other
Save a place in Heaven 'til the next time we meet forever!"
JAY-Z	6	Change Clothes	The Black Album	2003	[Verse 3]	"Young Hov' in the house, it's so necessary
No bra with that blouse, that's so necessary
No panties and jeans, that's so necessary
Why you frontin' on me?
Let's go to my hotel, cause this don't go well
With those S. Dots, gotta stay fresh ma
Ma, I don't shop where the rest buy
Ho no ma, please respect my
Jiggy this is probably Purple Label
Or that BBC shit or it's probably tailored
And y'all niggas actin' way too tough
Throw on a suit, get it tapered up, and let's just:"
Eminem	15	Amityville	The Marshall Mathers LP	2000	[Chorus]	"(He's) Mentally ill from Amityville
(He'll) Accidentally kill your family still
Thinkin' he won't, goddammit, he will
(He's) Mentally ill from Amityville
(He's) Mentally ill from Amityville
(He'll) Accidentally kill your family still
Thinkin' he won't, goddammit, he will
(He's) Mentally ill from Amityville"
Big L	25	Who You Slidin’ Wit’	The Big Picture	2000	[Chorus]	"What up, miss? Who you hidin' wit'?
Who you slidin' wit'? Who you ridin' wit'?
We can jump in the SL, rent a room at the best 'tel
I make it last 'cause I sex well
What up, miss? Who you hidin' wit'?
Who you slidin' wit'? Who you ridin' wit'?
We can jump in the SL, rent a room at the best 'tel
I make it last 'cause I sex well"
Travis Scott	33	Pornography	Rodeo	2015	[Chorus]	"So wake up, nigga, gotta get the cake up, nigga
Niggas in the bushes, niggas on the farm, might gotta rake up a nigga
I'm way too antsy 'cause my ambition's too frantic
I might move out to Atlantis 'cause my mind too outlandish"
Scarface	11	Sleepin’ In My Nikes	My Homies	1998	[Verse 2]	"Fuck it, I'm high, mentally stuck, do or die
Who the fuck am I? A young killer on the rise
Look in my eyes, you see the vision of a nigga
Feelin' trapped in his inner self (It's fuckin' with my mental health)
Born in the city where the niggas die young
Mist-covered street corners collapsed where I slung
And everybody standin' stiff waitin' on the cake
I'm waitin' on a motherfuckin' break, ain't no escape
Make no mistakes and leave a motherfucker breathin'
They all got to die this evening, 'cause I believe in
You kill a motherfucker 'fore a nigga come through
With his crew makin' your nightmares come true
Now who gon' be the first to die
'Cause I'd extinguished your whole clique
Gimme the money, nigga, no shit
I'm in your spot with a Glock, down to bomb
On any nigga needin' bomb, sleep with your motherfuckin' Nikes on"
50 Cent	19	GATman And Robbin	The Massacre	2005	[Verse 1]	"This ain't , Robin, Cagney or Lacey
It's 50 Cent and Shady, the worst, baby
Put your hands on my peoples I'll react crazy (Yeah!)
Put a hole through your front and your back, maybe
But go 'head, you try me
I'll have your ass hooked up to an IV
I leave no witnesses when I ride, B
You fuck with me, you'll see
I react like a animal and tear you apart
If a masterpiece was murder I'd major in art
Niggas know I was wrapped too tight from the start
But being a little off landed me on top of the charts (Woo!)
So you take the good with the bad, I guess
Level three Teflon plate on my chest
Hammer cocked back, hollow tip in the chamber, danger
Anger'll change ya, and make you aim that and squeeze"
André 3000	27	Southernplayalisticadillacmuzik	Southernplayalisticadillacmuzik	1994	[Verse 6]	"Step up in my shoes, you crews sittin' on Trues
And Vogues for the hoes only when we rollin' through
Atlanta skies be blue, the sun is beaming, it's seemin'
That I'm glistenin', rather gleaming, 20/20 got me leaning
To the side, full of pride, now, ain't that somethin'?
I'm dipping into your hood, this ain't Braille, but I'm bumpin'
Thumpin' out the roaches, Dungeon, if y'all missed it
Big Gipp, Goodie Mob, P.A., OutKast, Southernplayalistic"
